2.5, 8.3.1, 7N09
2.48, P13 (MX1), 6FKG
2.4797, I23, 8AYG
2.47968, P13 (MX1), 6RV6
2.479, 17-ID-2, 8ENA
2.479, 17-ID-2, 8EN9
2.479, 17-ID-2, 8FT4
2.479, 17-ID-2, 6O8A
2.479, 17-ID-2, 8FT5
2.4551, I23, 6EQD
2.422, D19, 4QDW
2.422, D19, 3KCL
2.422, D19, 3KCJ
2.422, D19, 4DVO
2.42, ?, 4PVN
2.3843, I23, 6OWX
2.3843, I23, 6OWY
2.3843, I23, 6OWZ
2.38, P13 (MX1), 5U4T
2.3751, I23, 6STL
2.375, I23, 8PXH
2.36296, XALOC, 8OT7
2.35, BM14, 4BJU
2.3, I03, 4UEG
2.292, ?, 4DDJ
2.2909, ?, 4KDV
2.2909, ?, 3BGK
2.2909, ?, 3FYS
2.2909, ?, 1SL8
2.2908, ?, 2D8O
2.29, ?, 1XHO
2.29, ?, 3P5W
2.29, ?, 3LKM
2.29, ?, 2G3T
2.29, ?, 2FBN
2.29, ?, 1WF3
2.29, ?, 2REK
2.29, ?, 3RQR
2.29, ?, 3BYV
2.29, ?, 2DG8
2.29, ?, 4LBI
2.29, ?, 2HLY
2.29, ?, 3TYR
2.29, ?, 2AZP
2.29, ?, 2ZGI
2.29, ?, 3C0F
2.29, ?, 2ZCX
2.29, ?, 3P5X
2.29, ?, 2ZB9
2.29, ?, 2YZQ
2.29, ?, 2Z11
2.29, ?, 3A8S
2.29, ?, 1ZD0
2.29, ?, 1ZD0
2.29, ?, 2PEX
2.29, ?, 2YZY
2.2898, ?, 5Y2J
2.28977, ?, 5ZBT
2.26864, 31-ID, 3I0T
2.26009, I23, 6YSO
2.26, I23, 6YO1
2.26, I23, 5OFR
2.26, BL7-1, 1QBL
2.25418, 8.3.1, 6D9M
2.25, X06DA, 5MXJ
2.25, X06DA, 5LXE
2.25, P13 (MX1), 5A6V
2.2, I03, 5FOR
2.167, PX10.1, 2WUV
2.167, PX10.1, 2WUW
2.166, BL07, 3WS1
2.166, BL07, 3WS2
2.16, 4A, 3ORF
2.14, ?, 1QJI
2.13, ID14-4, 4UB9
2.101424, 14.2, 7Z99
2.101, 14.1, 6SJU
2.1, PROXIMA 1, 6FVR
2.1, 5.2R, 1OK2
2.1, 22-ID, 8VJZ
2.1, ID29, 5AQ6
2.1, 22-ID, 8RRO
2.0837, PROXIMA 2, 6YVG
2.08, X06DA, 5GNB
2.0751, X06DA, 6ZSZ
2.0751, X06DA, 7OTR
2.07505, X06DA, 8RO6
2.07505, X06DA, 8RXF
2.075, X06DA, 6FXY
2.075, X06DA, 6M9B
2.075, X06DA, 8PI6
2.07366, X4A, 4TKR
2.0735, X4A, 4RYM
2.07333, X06DA, 6QLC
2.0702, BM16, 4U87
2.0701, X4A, 4TKS
2.07, PX10.1, 4C3U
2.07, PX10.1, 2W1M
2.07, X06DA, 5FGX
2.07, PX10.1, 4C3V
2.07, PX10.1, 3FYM
2.07, X4A, 4RAU
2.07, X4A, 4TKQ
2.07, CXI, 5K2B
2.07, X06DA, 7B2H
2.07, CXI, 5K2A
2.07, CXI, 6RFU
2.07, X4A, 4U9A
2.069, ESA, 7O44
2.0667, X06SA, 6G8B
2.0667, X06SA, 6G89
2.06643, X06SA, 5D5E
2.06642, X06DA, 5FCM
2.06641, X06DA, 5D3A
2.0664, X06DA, 5NFD
2.0664, P13 (MX1), 5OL9
2.0664, X06DA, 5NG4
2.0664, ID29, 6TSO
2.0664, X06DA, 5DWK
2.0664, P14 (MX2), 8QMG
2.0664, X06DA, 4WAB
2.0664, ID29, 4U89
2.0664, X06SA, 6FMY
2.0664, I04, 2WM2
2.0664, ID30B, 5OWG
2.0664, X06DA, 4WBQ
2.0664, X06DA, 4WAU
2.0664, 17-ID-2, 6W8T
2.0664, P13 (MX1), 7OS3
2.06637, 4.2.2, 1XAU
2.06633, BL9-2, 6E00
2.06633, BL14-1, 7SZG
2.0663, BL9-2, 6NYP
2.0663, BL9-2, 2VMB
2.066, X06DA, 5FQ5
2.066, CXI, 5FGT
2.066, 14.2, 6Z79
2.066, ID30B, 6FID
2.066, BL-17A, 3WS0
2.066, 5.0.3, 5MVZ
2.066, X06DA, 4TN8
2.066, X06DA, 4TNO
2.066, ID23-1, 4ILA
2.066, CXI, 4XOU
2.066, X06DA, 4PII
2.066, X06SA, 6QZH
2.066, X06DA, 4X8B
2.066, X06DA, 4WBX
2.066, X06DA, 4PGO
2.066, ID29, 2YOP
2.0644, X06DA, 5LNB
2.06, BL9-2, 2W8M
2.059, ESA, 7O5J
2.059, ESA, 7O5K
2.059, ESA, 7O51
2.059, ESA, 7O53
2.05, CXI, 4RVY
2.05, X06DA, 6FNW
2.046, ESA, 6S1E
2.046, ESA, 6S1G
2.04, CXI, 4PBU
2.033, XALOC, 6RNS
2.033, P13 (MX1), 6TGZ
2.03, I02, 4MCW
2.0069, X06SA, 6HDA
2.0, 14.2, 2WBS
2.0, 5.2R, 5EUU
2.0, X12, 2G52
2.0, X12, 2G55
2.0, BL26B1, 1V5V
2.0, 6B, 1OGZ
2.0, BL-17A, 6JR4
2.0, PROXIMA 2, 7CJR
2.0, PROXIMA 1, 6FVS
2.0, BL-17A, 3U3S
2.0, 5.2R, 8ASK
2.0, X12, 2G51
2.0, X12, 2G4T
2.0, X12, 2G4S
2.0, X12, 2G4R
2.0, X12, 2G4Q
2.0, X12, 2G4P
2.0, X12, 2G4O
2.0, X12, 2G4N
2.0, X12, 2G4M
2.0, X12, 2G4L
2.0, X12, 2G4K
2.0, X12, 2G4J
2.0, X12, 2G4I
2.0, X12, 2G4Z
2.0, X06DA, 6GY8
2.0, BL9-2, 5WJF
2.0, X12, 2G4V
2.0, X12, 2G4W
2.0, ?, 7YEN
2.0, X12, 2G4X
2.0, I03, 5OOO
2.0, X10SA, 6ZDW
2.0, X12, 2G4Y
2.0, 5.2R, 8ASH
2.0, 5.2R, 5EUX
2.0, 17-ID-1, 7RB4
2.0, 5.2R, 5EUZ
2.0, X12, 2G4H
2.0, X12, 2G4U
2.0, BL-17A, 3U3Q
2.0, P11, 6F08
2.0, X06SA, 4FFR
2.0, BL9-2, 4DLQ
2.0, 14.1, 4QAE
2.0, I02, 5L7S
2.0, X12, 2ILL
2.0, 23-ID-D, 5HXH
2.0, BL11-1, 4DIR
2.0, ?, 1UVP
2.0, ?, 7XYR
1.99976, XALOC, 4D79
1.9997, ID30B, 6Q8Q
1.984, ID29, 2BXY
1.9815, 19-ID, 1E9M
1.98, 31-ID, 3FIR
1.97, MASSIF-1, 6GCR
1.97, A1, 3U3D
1.97, F2, 3U31
1.968, 23-ID-B, 6DAM
1.95, XALOC, 7ZTV
1.93725, 5.0.2, 6CMC
1.93725, 5.0.2, 5WKX
1.93, X06DA, 3MGS
1.92224, PROXIMA 1, 4CZR
1.92, BL14-1, 6BY3
1.91, ID29, 1R4X
1.9075, I03, 6YOM
1.9075, BL9-1, 1J77
1.9075, 21-ID-D, 4EUA
1.9075, P14 (MX2), 5N9J
1.90747, X06DA, 5MPT
1.90745, ID23-1, 4QI0
1.90745, PROXIMA 1, 6ZW9
1.90745, 08ID-1, 5W78
1.90745, ID23-1, 4TT0
1.90745, PROXIMA 1, 6Z94
1.9074, 24-ID-C, 5SVT
1.9074, I03, 4CPC
1.9074, BL1-5, 1FEH
1.907, 24-ID-C, 4P42
1.907, PROXIMA 1, 2XGL
1.907, BL9-2, 3CF4
1.907, ID29, 2XRH
1.90682, X06SA, 3EAD
1.90021, X10SA, 4LSC
1.9, 14.1, 5M8W
1.9, AR-NE3A, 6L7U
1.9, 14.1, 5MA2
1.9, X06SA, 5OON
1.9, BL-17A, 7DVE
1.9, 14.2, 4HZG
1.9, I911-3, 4BT9
1.9, BL26B2, 3O0R
1.9, BL-17A, 7V62
1.9, BL-17A, 7E4D
1.9, BL-1A, 6L7V
1.9, AR-NW12A, 4WFK
1.9, 22-ID, 2QVO
1.9, BL-17A, 5XXP
1.9, X12, 3SZS
1.9, 22-ID, 3TFH
1.9, I24, 4C9R
1.9, AR-NW12A, 3KL1
1.9, 14.2, 4D91
1.9, BL-1A, 8GQ9
1.9, X06SA, 6FMW
1.9, BL-1A, 9IX8
1.9, X06SA, 6FMT
1.9, 14.1, 5MA1
1.9, X06SA, 6FMV
1.9, BL-1A, 7C5Y
1.9, BL-1A, 7C5X
1.9, BL-17A, 7C5W
1.9, BL-1A, 7C5V
1.9, 14.2, 4AQ4
1.9, 14.1, 8C6V
1.9, AR-NW12A, 6JZW
1.9, 22-ID, 3O3K
1.9, ?, 4PM0
1.9, BM16, 2BFW
1.9, 14.2, 6EJS
1.9, 14.1, 5MA0
1.9, 14.1, 7B9A
1.9, 14.2, 6QII
1.9, BL-1A, 7D98
